cohort_name,estimate,value,diagnostics,source
hypertension,Clinical description,"Hypertension is a chronic medical condition characterised by persistently elevated blood pressure in the arteries. Most cases are classified as primary (or essential) hypertension, which has no identifiable cause and tends to develop over many years, while a smaller proportion are due to an underlying condition (secondary hypertension).",cohort_count,gemini-2.5-pro
hypertension,Frequency,"Hypertension is extremely common, affecting over a quarter of adults globally, and is a leading risk factor for premature death. It is well-documented in primary care, hospital, and insurance claims data, making it readily identifiable in most real-world data sources.",cohort_count,gemini-2.5-pro
hypertension,Median age of incident cases,"55 to 65 (The incidence of hypertension increases steadily with age, with most new diagnoses occurring in middle-aged and older adults.)",cohort_characteristics,gemini-2.5-pro
hypertension,Percentage male,"45% to 55% (At younger ages, hypertension is more common in men, but after menopause, the incidence in women increases and may exceed that of men in older age groups.)",cohort_characteristics,gemini-2.5-pro
hypertension,Survival at five years,"85% to 95% (While hypertension itself is not directly fatal, it is a major risk factor for life-threatening events such as heart attacks and strokes, leading to a modest reduction in long-term survival compared to the general population.)",cohort_survival,gemini-2.5-pro
hypertension,Cohort overlap,"Expect to see overlap with type 2 diabetes (20-40%), hospitalised inpatients (30-60%), users of warfarin (5-15%), users of acetaminophen (70-90%), users of morphine (10-25%), and, among males, measurement of prostate specific antigen level (40-70%).",compare_cohorts,gemini-2.5-pro
hypertension,Cohort timing,"The diagnosis of hypertension often occurs concurrently with or precedes the diagnosis of type 2 diabetes, and typically precedes hospitalisation or the initiation of warfarin or morphine by several years. Acetaminophen use is sporadic and can occur at any time, while prostate specific antigen screening often begins around the same age that hypertension is diagnosed.",compare_cohorts,gemini-2.5-pro
hypertension,Frequently seen comorbidities,"type 2 diabetes mellitus, dyslipidaemia, obesity, chronic kidney disease, ischaemic heart disease, heart failure, atrial fibrillation, stroke, peripheral arterial disease, and gout are the most common comorbidities. (These conditions often share common underlying risk factors with hypertension, such as metabolic syndrome, or are direct consequences of long-term damage caused by elevated blood pressure.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
hypertension,Frequently seen signs and symptoms,"headache, dizziness, visual disturbances, chest pain, dyspnoea, palpitations, epistaxis, haematuria, tinnitus, and fatigue are the most common signs and symptoms. (Hypertension is frequently asymptomatic and discovered during routine screening, but these symptoms may arise with very high blood pressure levels or as a result of end-organ damage.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
hypertension,Frequently seen medications,"ramipril, amlodipine, indapamide, losartan, bisoprolol, doxazosin, atorvastatin, aspirin, metformin, and furosemide are the most common medications. (This list includes first and second-line antihypertensive drugs from various classes, as well as medications commonly prescribed for concurrent conditions like dyslipidaemia and type 2 diabetes.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
type_2_diabetes,Clinical description,Type 2 diabetes is a chronic metabolic disorder characterised by hyperglycaemia resulting from the body's ineffective use of insulin (insulin resistance) and a relative deficiency in insulin production.,cohort_count,gemini-2.5-pro
type_2_diabetes,Frequency,"Type 2 diabetes is a very common condition globally, and we would expect to see a high number of cases in primary care, hospital, and insurance claims data.",cohort_count,gemini-2.5-pro
type_2_diabetes,Median age of incident cases,"45 to 65 (The condition typically develops in middle-aged and older adults, although it is increasingly being diagnosed in younger individuals.)",cohort_characteristics,gemini-2.5-pro
type_2_diabetes,Percentage male,50% to 55% (There is a slight male predominance in the prevalence of type 2 diabetes.),cohort_characteristics,gemini-2.5-pro
type_2_diabetes,Survival at five years,"85% to 95% (Mortality is higher than in the general population, primarily due to an increased risk of cardiovascular disease.)",cohort_survival,gemini-2.5-pro
type_2_diabetes,Cohort overlap,Expect to see a high overlap with hypertension (40-70%) and user_of_acetaminophen (30-60%); a moderate overlap with hospitalised_inpatient (10-30%) and measurement_of_psa (10-20%); and a lower overlap with user_of_warfarin (5-15%) and user_of_morphine (5-15%).,compare_cohorts,gemini-2.5-pro
type_2_diabetes,Cohort timing,"For people also in the other cohorts, the type_2_diabetes diagnosis will typically precede entry into the hospitalised_inpatient, user_of_warfarin, and user_of_morphine cohorts by several years; diagnosis of hypertension often occurs around the same time as or just before the diabetes diagnosis; timing relative to user_of_acetaminophen is variable; and diabetes diagnosis will typically precede the first measurement_of_psa.",compare_cohorts,gemini-2.5-pro
type_2_diabetes,Frequently seen comorbidities,"the most common comorbidities are hypertension, hyperlipidaemia, obesity, chronic kidney disease, ischaemic heart disease, heart failure, peripheral vascular disease, atrial fibrillation, diabetic retinopathy, and diabetic neuropathy. (These conditions often share common risk factors with type 2 diabetes, such as obesity, or are long-term complications of the disease.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
type_2_diabetes,Frequently seen signs and symptoms,"the most common signs and symptoms are polyuria, polydipsia, fatigue, blurred vision, polyphagia, numbness or tingling in the hands or feet, slow-healing sores, frequent infections, unexplained weight loss, and acanthosis nigricans. (These features are a direct result of high blood glucose levels and the body's inability to use glucose for energy effectively.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
type_2_diabetes,Frequently seen medications,"the most common medications are metformin, gliclazide, sitagliptin, dapagliflozin, ramipril, atorvastatin, insulin, aspirin, bisoprolol, and liraglutide. (These drugs are used to manage blood glucose, blood pressure, and cholesterol to reduce the risk of long-term complications.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
hospitalised_inpatient,Clinical description,"A hospitalised inpatient is an individual who has been formally admitted to a hospital for medical care, diagnosis, or treatment that requires at least one overnight stay. The reasons for admission are highly diverse, spanning the full spectrum of acute illnesses, exacerbations of chronic conditions, scheduled surgical procedures, and diagnostic investigations.",cohort_count,gemini-2.5-pro
hospitalised_inpatient,Frequency,"Hospital admission is a very common event, particularly among the elderly and those with chronic diseases. Cases are readily and comprehensively identified in hospital administrative data, electronic health records, and insurance claims data, but may be less visible in primary care data without integrated systems.",cohort_count,gemini-2.5-pro
hospitalised_inpatient,Median age of incident cases,"65 to 75 (The age distribution of hospitalised inpatients is typically bimodal, with peaks in neonates and older adults, but the median age is high due to the large volume of admissions in the elderly.)",cohort_characteristics,gemini-2.5-pro
hospitalised_inpatient,Percentage male,"48% to 52% (The proportion of males is often close to balanced, though it can vary depending on the specific hospital setting and the types of admissions most frequently seen.)",cohort_characteristics,gemini-2.5-pro
hospitalised_inpatient,Survival at five years,"60% to 80% (Survival following hospitalisation is highly variable and is primarily dependent on the patient's age, the reason for admission, and the burden of underlying comorbidities.)",cohort_survival,gemini-2.5-pro
hospitalised_inpatient,Cohort overlap,"Expect high overlap with users of acetaminophen (60-80%) and people with hypertension (40-60%) or type 2 diabetes (20-40%), and moderate overlap with users of morphine (15-30%), users of warfarin (5-15%), and those with a measurement of prostate specific antigen level (5-15%).",compare_cohorts,gemini-2.5-pro
